ID,Original User Story,Rewritten User Story,Fuzzy Terms (with source),I_before,I_after,delta_I,N_before,N_after,delta_N,V_before,V_after,delta_V,E_before,E_after,delta_E,S_before,S_after,delta_S,T_before,T_after,delta_T,overall_before,overall_after,delta_overall,Low-score Explanation (<2)
US001,"As an app developer, I want to include the code of a dataset type in my app artifact and create a dataset of that type when deploying the app.","User Story:
As an app developer, I want to embed the code for a specific dataset type within my application artifact so that I can automatically generate a dataset of that type during the app deployment process, ensuring seamless integration and functionality.

Acceptance Criteria:
- The dataset type code must be successfully included in the application artifact prior to deployment.
- A new dataset of the specified type should be created automatically upon deployment, with a confirmation of successful creation.
- The dataset must be accessible and functional within the app immediately after deployment.

Test Outline:
- Verify that the dataset type code is present in the application artifact by inspecting the deployment package.
- Check the deployment logs to confirm that the dataset was created successfully during the deployment process.
- Test the accessibility and functionality of the newly created dataset within the app to ensure it operates as intended.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)",3,4,1.0,3,4,1.0,3,4,1.0,2,5,3.0,4,5,1.0,2,5,3.0,3,4,1.0,—
US002,"As an app developer, I want to deploy a new version of a dataset type as part of deploying a new version of the app that includes it and I expect that all dataset instances of that type that were created as part of the app deployment start using the new code.","User Story:
As an app developer, I want to implement a new version of a dataset type during the app deployment process so that all instances of that dataset type created with the app utilize the updated code seamlessly.

Acceptance Criteria:
- Ensure that the new dataset type version is successfully integrated and deployed alongside the app update.
- Verify that 100% of the dataset instances created post-deployment are utilizing the new version of the dataset type.
- Confirm that no errors occur during the transition to the new dataset version for existing instances.

Test Outline:
- Check the deployment logs to ensure the new dataset type version was included in the app deployment.
- Validate that all newly created dataset instances reflect the updated code by reviewing their properties.
- Monitor for any error messages or issues reported during the transition to ensure a smooth upgrade process.","that (ISO 29148)
all (ISO 29148)",3,4,1.0,3,4,1.0,3,4,1.0,3,5,2.0,3,5,2.0,2,5,3.0,3,4,1.0,—
US003,"As an app developer, I want to deploy a new version of a dataset type as part of an app artifact, without affecting other datasets of this type.","User Story:
As an app developer, I want to implement a new version of a specific dataset type within an app artifact so that I can enhance functionality without disrupting the existing datasets of the same type.

Acceptance Criteria:
- Ensure that the deployment of the new dataset version does not impact the performance or availability of existing datasets.
- Validate that the new dataset version is successfully integrated and accessible within the app without any errors.
- Confirm that all existing datasets maintain their integrity and functionality post-deployment.

Test Outline:
- Monitor the performance metrics of existing datasets before and after the deployment to ensure no degradation occurs.
- Test the accessibility of the new dataset version to verify it is functioning correctly within the app.
- Conduct a review of existing datasets to ensure they remain operational and unaffected by the new deployment.","it (ISO 29148)
that (ISO 29148)
all (ISO 29148)
can (NASA ARM)",3,4,1.0,3,4,1.0,3,3,0.0,2,4,2.0,4,4,0.0,2,4,2.0,3,4,1.0,—
US004,"As an app developer, I want to explore a dataset instance of a type that was deployed as part of an app.","User Story:
As an app developer, I want to investigate a specific instance of a dataset type that has been deployed within the application so that I can analyze its structure and content for better integration and functionality.

Acceptance Criteria:
- Access the deployed dataset instance within the app environment without encountering errors.
- Retrieve and display at least 10 key attributes of the dataset instance for analysis.
- Ensure that the dataset instance can be queried for insights, returning results within 3 seconds.

Test Outline:
- Verify that the dataset instance is accessible through the app's interface without any issues.
- Check that the key attributes of the dataset are correctly displayed and match the expected schema.
- Conduct a query on the dataset instance and measure the response time to confirm it meets the performance criteria.","it (ISO 29148)
that (ISO 29148)
better (ISO 29148)
can (NASA ARM)
better (NASA ARM)",2,4,2.0,2,4,2.0,2,4,2.0,2,5,3.0,4,5,1.0,2,5,3.0,2,4,2.0,—
US005,"As an app developer, I want to ensure that when I deploy an artifact without creating an app this will not create any dataset types or instances.","User Story:
As an app developer, I want to guarantee that deploying an artifact without the creation of an app does not result in the generation of any dataset types or instances, ensuring a clean deployment process.

Acceptance Criteria:
- Confirm that no dataset types are created during the deployment of an artifact when an app is not instantiated.
- Validate that no dataset instances are generated as a result of the artifact deployment without an associated app.
- Ensure that the deployment process logs clearly indicate the absence of dataset type and instance creation.

Test Outline:
- Review the deployment logs to verify that no dataset types were created during the artifact deployment.
- Check the database or storage system to confirm that no new dataset instances were generated post-deployment.
- Conduct a test deployment of an artifact without an app and monitor the outcomes to ensure compliance with the acceptance criteria.",that (ISO 29148),3,4,1.0,3,4,1.0,3,4,1.0,2,5,3.0,4,5,1.0,2,5,3.0,3,4,1.0,—
US006,"As an app developer, I want to share a dataset type across multiple applications that include the dataset type's code in their artifacts.","User Story:
As an app developer, I want to enable the sharing of a specific dataset type across various applications, ensuring that the dataset type's code is included in their build artifacts, so that all applications can utilize consistent data structures and functionalities.

Acceptance Criteria:
- The dataset type's code must be integrated into the build artifacts of at least 3 different applications.
- Ensure that any updates to the dataset type are automatically reflected in all applications using it within 24 hours.
- Validate that all applications can access and utilize the shared dataset type without any compatibility issues.

Test Outline:
- Review the build artifacts of the applications to confirm the inclusion of the dataset type's code.
- Monitor the update process to ensure that changes to the dataset type propagate to all applications within the specified timeframe.
- Conduct functionality tests in each application to verify seamless access and usage of the shared dataset type.","it (ISO 29148)
that (ISO 29148)
all (ISO 29148)
can (NASA ARM)",3,4,1.0,3,4,1.0,3,4,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,4,1.0,—
US007,"As an app developer, I want to ensure that when I deploy a new version of an app that includes a shared dataset type that all dataset instances created by this app start using the new code but all dataset instances created by other apps remain unchanged.","User Story:
As an app developer, I want to implement a versioning mechanism for shared dataset types so that all instances created by my app automatically adopt the new code upon deployment, while ensuring that instances from other applications remain unaffected.

Acceptance Criteria:
- Upon deploying a new version, all dataset instances created by the app must reflect the updates within 5 minutes.
- Verify that no changes are applied to dataset instances created by other applications, maintaining their original functionality.
- Document the versioning process to ensure clarity on how updates are managed and rolled out.

Test Outline:
- Deploy a new version of the app and monitor the dataset instances to confirm they are updated as expected.
- Check instances created by other apps to ensure they remain unchanged and function as intended.
- Review the documentation for the versioning process to ensure it accurately describes the update mechanism.","it (ISO 29148)
that (ISO 29148)
all (ISO 29148)",3,4,1.0,3,4,1.0,3,4,1.0,3,5,2.0,3,5,2.0,2,5,3.0,3,4,1.0,—
US008,"As an app developer, I want to ensure that when I deploy a new version of an app that includes an older version of a dataset type deployed by another app and I expect that the dataset instances created by this app use the dataset type code included in this app.","User Story:
As an app developer, I want to guarantee that when I release a new version of my application that incorporates a previously deployed dataset type from another application, the dataset instances generated by my app will utilize the dataset type code embedded within my new version.

Acceptance Criteria:
- Confirm that the dataset type code from the new app version is correctly integrated and recognized by the system.
- Ensure that all dataset instances created by the new app version reference the intended dataset type code, with a success rate of 100%.
- Validate that no instances of the older dataset type code are used in the new dataset instances post-deployment.

Test Outline:
- Review the deployment logs to verify that the new dataset type code is included and correctly deployed.
- Create multiple dataset instances using the new app version and check that they all reference the correct dataset type code.
- Conduct a comprehensive audit of the dataset instances to ensure that none are linked to the older dataset type code.","that (ISO 29148)
all (ISO 29148)",2,4,2.0,2,4,2.0,2,4,2.0,2,5,3.0,3,5,2.0,2,5,3.0,2,4,2.0,—
US009,"As an app developer, I want to ensure that when I deploy a new version of an app that includes a different version of a dataset type deployed by another app and this app shares a dataset instance of this type with the other app the deployment will fail with a version conflict error.","User Story:
As an app developer, I want to implement a version conflict detection mechanism during app deployment so that if my new app version includes a different dataset version shared with another app, the deployment will automatically fail, preventing potential data inconsistencies.

Acceptance Criteria:
- The deployment process must check for version compatibility of the shared dataset type and trigger a conflict error if discrepancies are found.
- A clear error message must be generated, indicating the specific version conflict and the apps involved.
- The deployment should log the conflict details for further analysis and resolution.

Test Outline:
- Deploy a new version of the app with an incompatible dataset version and verify that the deployment fails with the appropriate conflict error.
- Check the error message for clarity and accuracy regarding the version conflict.
- Review the deployment logs to ensure that the conflict details are recorded correctly for troubleshooting.","that (ISO 29148)
appropriate (ISO 29148)",3,4,1.0,3,4,1.0,3,4,1.0,3,5,2.0,3,5,2.0,2,5,3.0,3,4,1.0,—
US010,"As an app developer, I want to share a dataset type that I had previously deployed as part of an app.","User Story:
As an app developer, I want to publish a previously deployed dataset type from my application so that other developers can leverage it for their projects, enhancing collaboration and data utilization.

Acceptance Criteria:
- Successfully share the dataset type with a unique identifier that can be accessed by other developers.
- Ensure that the dataset type is documented with clear usage instructions and examples.
- Track the number of developers who access or utilize the shared dataset type within the first month of publication.

Test Outline:
- Verify that the dataset type is accessible via the provided unique identifier by attempting to retrieve it.
- Review the documentation for completeness and clarity, ensuring it meets the standards for developer usability.
- Monitor access logs to count the number of unique developers who interact with the dataset type after it has been shared.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)",2,4,2.0,2,5,3.0,2,4,2.0,2,5,3.0,4,5,1.0,2,5,3.0,2,5,3.0,—
