ID,Original User Story,Rewritten User Story,Correction Reason,Fuzzy Terms (with source),I_before,I_after,delta_I,N_before,N_after,delta_N,V_before,V_after,delta_V,E_before,E_after,delta_E,S_before,S_after,delta_S,T_before,T_after,delta_T,overall_before,overall_after,delta_overall,Low-score Explanation (<2)
A1US1O1,"As a passenger, I want the AV to detect hazards in real-time using AI sensors, so that my safety is ensured.","User Story:
As a passenger, I want the autonomous vehicle (AV) to utilize AI sensors for real-time hazard detection so that my safety is guaranteed during travel.

Acceptance Criteria:
- The AV must identify and respond to at least 95% of potential hazards within 1 second of detection.
- The system should demonstrate a reduction in accident rates by at least 30% during testing compared to vehicles without this technology.
- User feedback should reflect a safety satisfaction rate of 90% or higher after experiencing the AV's hazard detection capabilities.

Test Outline:
- Conduct real-world simulations to measure the response time and accuracy of hazard detection under various conditions.
- Analyze accident data before and after implementing the AI sensor system to confirm the reduction in accident rates.","The original user story was clear but lacked measurable criteria and specificity. The improved version enhances clarity by explicitly stating the technology involved, setting quantifiable acceptance criteria, and providing a structured test outline to ensure the effectiveness of the hazard detection system.","this (ISO 29148)
that (ISO 29148)",5,5,0.0,4,4,0.0,5,5,0.0,4,5,1.0,5,5,0.0,4,5,1.0,5,5,0.0,—
A1US2O1,"As a fleet manager, I want to monitor AV performance data via IoT, so that I can proactively manage maintenance.","User Story:
As a fleet manager, I want to access real-time performance data of autonomous vehicles (AVs) through IoT technology so that I can proactively manage maintenance and reduce downtime by at least 20%.

Acceptance Criteria:
- The IoT system must provide performance data updates every 5 minutes for all vehicles in the fleet.
- At least 95% of performance data readings should be accurate and reliable.
- The system should generate alerts for maintenance needs with a lead time of at least 48 hours before any potential failure.

Test Outline:
- Monitor the frequency of data updates to ensure they occur within the 5-minute window.
- Validate the accuracy of performance data by cross-referencing with manual checks on a sample of vehicles.
- Test the alert system to confirm that maintenance notifications are sent out at least 48 hours in advance of identified issues.","The original user story was clear but lacked measurable criteria and specific business impact. The improved version enhances clarity by specifying the technology used, quantifying the expected reduction in downtime, and providing detailed acceptance criteria and a test outline.","reliable (ISO 29148)
that (ISO 29148)
all (ISO 29148)
every (ISO 29148)
can (NASA ARM)",4,4,0.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
A1US3O1,"As a driver, I want the AV to predict and prevent collisions using AI, so that accidents are significantly reduced.","User Story:
As a driver, I want the autonomous vehicle (AV) to utilize AI for predicting and preventing potential collisions so that the incidence of accidents is reduced by at least 70%, enhancing overall road safety.

Acceptance Criteria:
- The AI system must accurately predict potential collision scenarios with a success rate of 95% or higher.
- The AV should initiate preventive actions (such as braking or steering adjustments) within 0.5 seconds of detecting a potential collision.
- Post-implementation, the number of reported accidents involving the AV should decrease by at least 70% over a 12-month period.

Test Outline:
- Simulate various driving scenarios to evaluate the AI's prediction accuracy and response time in collision prevention.
- Analyze accident reports before and after the implementation to measure the reduction in incidents.","The original user story was clear but lacked specific, measurable criteria. The improved version enhances clarity by specifying the expected reduction in accidents, the accuracy of the AI predictions, and the response time for preventive actions, making it more actionable and focused on business value.",that (ISO 29148),4,4,0.0,4,4,0.0,5,5,0.0,4,5,1.0,5,5,0.0,4,5,1.0,4,5,1.0,—
A1US4O1,"As a transportation executive, I want the AV to optimize fuel consumption with AI, so that operational costs are minimized.","User Story:
As a transportation executive, I want the autonomous vehicle (AV) to utilize AI algorithms to optimize fuel consumption so that operational costs are reduced by at least 15% annually.

Acceptance Criteria:
- The AI system must analyze driving patterns and adjust routes to achieve a minimum of 10% improvement in fuel efficiency within the first quarter of implementation.
- Fuel consumption data should be tracked and reported monthly, demonstrating a consistent reduction in costs over a 12-month period.
- User feedback from drivers should indicate a satisfaction rate of 90% or higher regarding the AV's performance in fuel optimization.

Test Outline:
- Measure fuel consumption before and after AI implementation to verify the 15% cost reduction goal.
- Analyze route efficiency and fuel savings through data analytics tools to ensure the 10% improvement is achieved.
- Conduct surveys with drivers to assess their satisfaction with the AI's fuel optimization capabilities.","The original user story was clear but lacked specific, measurable criteria. The improved version enhances clarity by specifying quantifiable goals for fuel savings, operational cost reduction, and user satisfaction, along with a structured test outline.",that (ISO 29148),4,5,1.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
A1US5O1,"As a passenger, I want the AV to navigate autonomously through traffic using AI and IoT, so that my travel is seamless and stress-free.","User Story:
As a passenger, I want the autonomous vehicle (AV) to navigate through traffic using advanced AI and IoT technologies so that my travel experience is seamless, stress-free, and safe.

Acceptance Criteria:
- The AV must successfully navigate through urban traffic with a success rate of at least 95% without human intervention.
- The average time taken to reach the destination should be reduced by 20% compared to traditional navigation methods.
- User satisfaction regarding the travel experience should achieve a rating of 90% or higher in post-ride surveys.

Test Outline:
- Monitor the AV's navigation performance in real traffic conditions to verify the success rate of autonomous navigation.
- Compare travel times of the AV against traditional vehicles over the same routes to assess time efficiency.
- Conduct user surveys after rides to evaluate satisfaction levels and gather feedback on the travel experience.","The original user story was well-structured but needed more specificity and measurable criteria. The improved version clarifies the technology involved, emphasizes safety and efficiency, and provides explicit acceptance criteria and a test outline to ensure the functionality meets user expectations.",that (ISO 29148),4,4,0.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,2,5,3.0,4,5,1.0,—
A1US6O1,"As a commuter, I want the AV to handle driving tasks autonomously, so that I can use my travel time productively.","User Story:
As a commuter, I want the autonomous vehicle (AV) to manage all driving tasks independently so that I can utilize my travel time for work or leisure activities, enhancing my overall productivity.

Acceptance Criteria:
- The AV must successfully navigate and complete driving tasks with a success rate of at least 95% in various traffic conditions.
- The system should respond to unexpected obstacles or changes in traffic patterns within 1 second to ensure safety.
- User feedback should reflect a satisfaction rate of 90% or higher regarding the AV's driving performance and reliability.

Test Outline:
- Conduct real-world driving tests to measure the success rate of the AV in different scenarios and conditions.
- Simulate unexpected obstacles during test drives to evaluate the system's response time and effectiveness.
- Gather user feedback through surveys to assess satisfaction with the AV's autonomous driving capabilities.","The original user story was clear but lacked measurable criteria and specific details. The improved version enhances clarity by specifying the role of the AV, outlines explicit benefits, and provides measurable acceptance criteria and a structured test outline.","that (ISO 29148)
all (ISO 29148)
can (NASA ARM)",4,5,1.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
A1US7O1,"As an environmental advocate, I want the AV to reduce emissions through AI-optimized routes, so that it contributes to a cleaner environment.","User Story:
As an environmental advocate, I want the autonomous vehicle (AV) to utilize AI-optimized routes to minimize emissions by at least 20% per trip, so that it significantly contributes to a cleaner environment and supports sustainability goals.

Acceptance Criteria:
- The AI routing system must demonstrate a reduction in emissions of at least 20% compared to traditional routing methods for 90% of trips.
- The system should calculate and display estimated emissions savings for each route, ensuring accuracy within 5%.
- User feedback should reflect a satisfaction rate of 90% or higher regarding the perceived environmental impact of the AV's routing decisions.

Test Outline:
- Analyze trip data to compare emissions from AI-optimized routes against standard routes to verify the 20% reduction.
- Validate the accuracy of emissions calculations by cross-referencing with environmental standards and metrics.
- Conduct user surveys to assess satisfaction with the environmental benefits of the AV's routing.","The original user story was clear but lacked measurable criteria and specific targets. The improved version enhances clarity by specifying the role of the AV, quantifying the expected emissions reduction, and providing detailed acceptance criteria and testing methods to ensure accountability and effectiveness.","it (ISO 29148)
that (ISO 29148)",4,4,0.0,4,4,0.0,5,4,-1.0,4,5,1.0,4,5,1.0,3,5,2.0,4,4,0.0,—
A1US8O1,"As a software engineer, I want the AV to efficiently process large-scale sensor data using AI and IoT, so that it makes informed decisions quickly.","User Story:
As a software engineer, I want the autonomous vehicle (AV) system to efficiently process large-scale sensor data using AI and IoT technologies so that it can make informed decisions within 100 milliseconds, enhancing safety and operational efficiency.

Acceptance Criteria:
- The AV must process and analyze sensor data from at least 10,000 data points per second with a decision-making latency of no more than 100 milliseconds.
- The accuracy of the decisions made based on the processed data should be at least 95% in real-world scenarios.
- The system should demonstrate the ability to handle peak data loads without performance degradation for 99% of the time.

Test Outline:
- Simulate various scenarios to measure the processing speed and decision-making latency of the AV system under different data loads.
- Validate the accuracy of decisions made by comparing them against expected outcomes in controlled tests.","The original user story was clear but lacked specific measurable criteria. The improved version enhances clarity by defining the technology involved, setting explicit performance metrics, and outlining acceptance criteria and testing methods to ensure the system meets business needs.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)
more (NASA ARM)",3,4,1.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
A1US9O1,"As a business strategist, I want to leverage AI and IoT in AVs to explore new market opportunities, so that the company can expand its revenue streams.","User Story:
As a business strategist, I want to integrate AI and IoT technologies in autonomous vehicles (AVs) to identify and capitalize on at least three new market opportunities, so that the company can increase its revenue streams by 20% within the next fiscal year.

Acceptance Criteria:
- Conduct a market analysis to identify a minimum of three viable opportunities for AI and IoT applications in AVs by the end of Q2.
- Develop a strategic plan outlining potential revenue impacts, aiming for a projected increase of 20% in revenue from these new opportunities within 12 months.
- Present findings and strategic recommendations to stakeholders with a satisfaction rating of 90% or higher on the clarity and feasibility of the proposed initiatives.

Test Outline:
- Review the market analysis report to ensure it identifies at least three opportunities and aligns with the company’s strategic goals.
- Evaluate the strategic plan for projected revenue impacts and gather feedback from stakeholders to assess their satisfaction with the recommendations.","The original user story was clear but lacked measurable criteria and specific targets. The improved version enhances clarity by specifying quantifiable goals, such as the number of market opportunities and expected revenue growth, while also providing a structured approach for testing and validation.","it (ISO 29148)
that (ISO 29148)
these (ISO 29148)
can (NASA ARM)",2,4,2.0,2,5,3.0,4,5,1.0,2,5,3.0,3,5,2.0,2,5,3.0,3,5,2.0,—
A1US10O1,"As a network administrator, I want the AV to maintain low-latency connectivity through IoT, so that it can communicate effectively for safe operations.","User Story:
As a network administrator, I want the antivirus (AV) system to ensure low-latency connectivity across IoT devices so that they can communicate effectively, maintaining operational safety and efficiency.

Acceptance Criteria:
- The AV must maintain latency levels below 50 milliseconds for 95% of IoT communications.
- The system should demonstrate a 99% uptime for connectivity to IoT devices over a 30-day period.
- User feedback should reflect a satisfaction rate of 90% or higher regarding the effectiveness of the AV in maintaining connectivity.

Test Outline:
- Measure the latency of IoT communications while the AV is active to ensure it meets the 50 milliseconds criterion.
- Monitor the uptime of the AV system over a month to confirm it meets the 99% threshold.
- Conduct user surveys to assess satisfaction with the AV's performance in maintaining connectivity.","The original user story was clear but lacked measurable criteria and specificity. The improved version clarifies the role of the network administrator, specifies the capability of the AV, and provides explicit, quantifiable acceptance criteria and a structured test outline.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)",3,4,1.0,2,4,2.0,4,5,1.0,2,5,3.0,3,5,2.0,2,5,3.0,3,5,2.0,—
