ID,Original User Story,Rewritten User Story,Fuzzy Terms (with source),I_before,I_after,delta_I,N_before,N_after,delta_N,V_before,V_after,delta_V,E_before,E_after,delta_E,S_before,S_after,delta_S,T_before,T_after,delta_T,overall_before,overall_after,delta_overall,Low-score Explanation (<2)
US001,"As a site member, I want to describe myself on my own page in a semi-structured way, so that others can learn about me.","User Story:
As a site member, I want to have the ability to create a semi-structured personal description on my profile page so that others can easily learn about my interests, skills, and background, enhancing community engagement by at least 20%.

Acceptance Criteria:
- The personal description section must allow for a minimum of 5 predefined fields (e.g., interests, skills, background, hobbies, and goals) to guide users in providing structured information.
- Users should be able to input a total of up to 500 characters for each field, ensuring sufficient detail while maintaining clarity.
- At least 75% of users should indicate that the semi-structured format helps them better understand other members in a post-implementation survey.

Test Outline:
- Verify that the profile page includes the required fields and character limits for user descriptions.
- Conduct user testing to ensure that the semi-structured format is intuitive and easy to use.
- Analyze survey results to measure user satisfaction with the new description feature.","easy (ISO 29148)
easy to use (ISO 29148)
intuitive (ISO 29148)
that (ISO 29148)
better (ISO 29148)
be able to (NASA ARM)
easy to (NASA ARM)
can (NASA ARM)
better (NASA ARM)",5,4,-1.0,4,4,0.0,5,5,0.0,4,5,1.0,5,5,0.0,3,5,2.0,4,5,1.0,—
US002,"As a site member, I want to fill out an application to become a Certified Scrum Practitioner, so that I can earn that designation.","User Story:
As a site member, I want to complete an application process to obtain the Certified Scrum Practitioner designation so that I can enhance my professional credentials and increase my career opportunities by at least 20%.

Acceptance Criteria:
- The application form must be accessible online and include at least 5 sections covering personal information, experience, education, and references.
- The application should be submitted successfully within 10 minutes, with a confirmation email sent to the applicant immediately upon submission.
- At least 85% of applicants should report that the application process is clear and user-friendly in follow-up feedback.

Test Outline:
- Verify that the application form is fully functional and includes all required sections.
- Measure the time taken for users to complete the application to ensure it meets the 10-minute target.
- Collect and analyze feedback from applicants regarding their experience with the application process.","it (ISO 29148)
that (ISO 29148)
all (ISO 29148)
can (NASA ARM)",5,4,-1.0,4,4,0.0,5,5,0.0,4,5,1.0,5,5,0.0,3,5,2.0,4,5,1.0,—
US003,"As a Practitioner, I want to include additional details about me in my profile page, so that I can showcase my experience.","User Story:
As a Practitioner, I want to enhance my profile page by adding more detailed information about my professional background, skills, and accomplishments so that I can effectively showcase my experience and increase my visibility to potential clients by at least 25%.

Acceptance Criteria:
- The profile page must allow for the inclusion of at least 5 new fields, such as certifications, work history, skills, projects, and a personal statement.
- Users should be able to edit and save their profile details within 2 minutes, ensuring a smooth update process.
- At least 75% of users should report that the additional details significantly improve their chances of being contacted by clients in follow-up surveys.

Test Outline:
- Verify that the profile page includes the new fields for additional details and that they are user-friendly.
- Measure the time taken for users to complete the profile update process.
- Conduct user surveys to evaluate the perceived impact of the enhanced profile on client engagement.","that (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)
more (NASA ARM)",5,4,-1.0,4,4,0.0,5,5,0.0,4,5,1.0,5,5,0.0,3,5,2.0,4,5,1.0,—
US004,"As a site member, I want to fill out an application to become a Certified Scrum Trainer, so that I can teach CSM and CSPO courses and certify others.","User Story:
As a site member, I want to complete an application process to become a Certified Scrum Trainer so that I can effectively teach Certified Scrum Master (CSM) and Certified Scrum Product Owner (CSPO) courses, enabling me to certify at least 100 new Scrum practitioners annually and contribute to the growth of agile methodologies.

Acceptance Criteria:
- The application form must include sections for personal information, relevant experience, and training qualifications, with a completion time of no more than 15 minutes.
- Applicants should receive confirmation of their application status within 5 business days of submission.
- At least 90% of applicants should report that the application process is clear and user-friendly in follow-up surveys.

Test Outline:
- Review the application form to ensure all required sections are present and assess the estimated completion time.
- Track the time taken to send confirmation emails after application submission to ensure compliance with the 5-day requirement.
- Conduct surveys with applicants to evaluate their experience and satisfaction with the application process.","that (ISO 29148)
all (ISO 29148)
can (NASA ARM)
more (NASA ARM)",4,4,0.0,4,4,0.0,5,5,0.0,4,5,1.0,5,5,0.0,3,5,2.0,4,5,1.0,—
US005,"As a Trainer, I want to include additional details in my profile page about me, so that others can learn about me and decide if I am the right trainer for them.","User Story:
As a Trainer, I want to enhance my profile page with comprehensive details about my qualifications, experience, and training style so that potential clients can make informed decisions about my suitability as their trainer, increasing my client engagement by at least 20%.

Acceptance Criteria:
- The profile page must include sections for my professional background, certifications, training philosophy, and client testimonials.
- Each section should contain a minimum of 150 words to provide sufficient detail for prospective clients.
- The profile should be updated and live within 24 hours of submission to ensure timely access to information.

Test Outline:
- Review the profile page to confirm that all required sections are present and contain the specified word count.
- Monitor client inquiries and engagement metrics to assess the impact of the enhanced profile on attracting new clients.","that (ISO 29148)
all (ISO 29148)
timely (NASA ARM)
can (NASA ARM)",4,4,0.0,4,4,0.0,5,5,0.0,4,5,1.0,5,5,0.0,3,5,2.0,4,5,1.0,—
US006,"As a Practitioner, I want to write an article for the site with a small graphic shown with the article showing my CSP or CST status, so that others know my certifications when reading.","User Story:
As a Practitioner, I want to publish an article on the site that includes a small graphic displaying my Certified Scrum Professional (CSP) or Certified Scrum Trainer (CST) status, so that readers can easily recognize my qualifications, thereby enhancing my credibility and potentially increasing engagement with my content by at least 20%.

Acceptance Criteria:
- The article must feature a graphic that clearly indicates my CSP or CST status, adhering to the site's branding guidelines.
- The graphic should be visible and properly formatted on both desktop and mobile versions of the site.
- At least 75% of readers should indicate in feedback that the certification graphic positively influenced their perception of my expertise.

Test Outline:
- Review the article layout to ensure the certification graphic is correctly displayed and meets branding standards.
- Test the article on various devices to confirm the graphic's visibility and formatting.
- Collect reader feedback to evaluate the impact of the certification graphic on their perception of the article's author.","that (ISO 29148)
can (NASA ARM)",5,4,-1.0,4,4,0.0,5,5,0.0,4,5,1.0,5,5,0.0,3,5,2.0,4,5,1.0,—
US007,"As a trainer, I want to list my upcoming classes in my profile and include a link to a detailed page about each, so that prospective attendees can find my courses.","User Story:
As a trainer, I want to display my upcoming classes on my profile along with links to detailed pages for each course so that potential attendees can easily access information about my offerings, increasing class enrollment by at least 20%.

Acceptance Criteria:
- The profile must showcase a list of at least 5 upcoming classes with the date, time, and brief description for each.
- Each class entry should include a clickable link that directs users to a detailed page containing comprehensive information, including syllabus, prerequisites, and registration details.
- Track the number of clicks on the class links, aiming for at least a 50% click-through rate from profile views.

Test Outline:
- Verify that the profile displays the required number of upcoming classes with accurate details.
- Check that all links direct users to the correct detailed pages and that those pages load within 2 seconds.
- Analyze click-through data to assess user engagement with the class listings.","that (ISO 29148)
those (ISO 29148)
all (ISO 29148)
can (NASA ARM)",4,5,1.0,4,4,0.0,5,5,0.0,4,5,1.0,5,5,0.0,3,5,2.0,4,5,1.0,—
US008,"As a site member, I want to view the profiles of other members, so that I can find others I might want to connect with.","User Story:
As a site member, I want to access and view the profiles of other members so that I can identify potential connections and expand my network, increasing my engagement on the platform by at least 25%.

Acceptance Criteria:
- Each member's profile must display at least 5 key details, including name, profile picture, interests, location, and mutual connections.
- The profile viewing feature should load within 2 seconds for 95% of users.
- At least 75% of users should express satisfaction with the profile viewing experience in follow-up surveys.

Test Outline:
- Verify that each member's profile includes the required key details.
- Measure the loading time of profiles to ensure compliance with the 2-second target.
- Conduct user surveys to evaluate satisfaction levels regarding the profile viewing functionality.","that (ISO 29148)
can (NASA ARM)",5,4,-1.0,4,4,0.0,5,5,0.0,4,5,1.0,5,5,0.0,3,5,2.0,4,5,1.0,—
US009,"As a site member, I want to search for profiles based on a few fields, so that I can find others I might want to connect with.","User Story:
As a site member, I want to utilize a profile search feature that allows me to filter profiles based on specific fields such as location, interests, and professional background so that I can efficiently discover potential connections, increasing my networking opportunities by at least 25%.

Acceptance Criteria:
- The search functionality must allow filtering by at least 3 fields: location, interests, and professional background.
- Search results should be generated within 2 seconds of applying filters, ensuring a smooth user experience.
- At least 75% of users should indicate in feedback surveys that the search feature significantly aids in finding relevant profiles.

Test Outline:
- Verify that the search feature includes the specified fields for filtering profiles.
- Measure the response time for search results after filters are applied to ensure compliance with the 2-second requirement.
- Conduct user feedback sessions to evaluate the effectiveness of the profile search feature in facilitating connections.","that (ISO 29148)
can (NASA ARM)",5,4,-1.0,4,4,0.0,5,5,0.0,4,5,1.0,5,5,0.0,3,5,2.0,4,5,1.0,—
US010,"As a site member, I want to mark my profile as private in which case only my name will appear, so that no one can learn things about me I don't want shared.","User Story:
As a site member, I want the option to set my profile to private, ensuring that only my name is visible to other users, so that I can protect my personal information and maintain my privacy, reducing unwanted attention by at least 50%.

Acceptance Criteria:
- The private profile setting must hide all personal details except for the user's name, with a toggle option easily accessible in the account settings.
- Users should receive a confirmation message when they successfully change their profile to private, ensuring clarity of the action taken.
- At least 75% of users should express satisfaction with the privacy feature in a follow-up survey conducted one month after implementation.

Test Outline:
- Verify that the profile privacy setting effectively hides all personal information except the name when activated.
- Check that users receive a confirmation message upon changing their profile status to private.
- Conduct a survey to measure user satisfaction regarding the privacy feature and its effectiveness.","that (ISO 29148)
all (ISO 29148)
can (NASA ARM)",5,4,-1.0,4,4,0.0,5,5,0.0,4,5,1.0,5,5,0.0,3,5,2.0,4,5,1.0,—
