ID,Original User Story,Rewritten User Story,Fuzzy Terms (with source),I_before,I_after,delta_I,N_before,N_after,delta_N,V_before,V_after,delta_V,E_before,E_after,delta_E,S_before,S_after,delta_S,T_before,T_after,delta_T,overall_before,overall_after,delta_overall,Low-score Explanation (<2)
US001,"﻿As a Data user, I want to have the 12-19-2017 deletions processed.","User Story:
As a data analyst, I want to ensure that the deletions from December 19, 2017, are processed accurately so that I can maintain data integrity and ensure compliance with data management policies.

Acceptance Criteria:
- Confirm that all deletions from the specified date are identified and logged.
- Ensure that 100% of the deletions are processed within 24 hours of the request.
- Validate that the processed deletions are reflected in the data repository without discrepancies.

Test Outline:
- Review the deletion logs to verify that all entries from December 19, 2017, are accounted for.
- Track the processing time to ensure it meets the 24-hour requirement.
- Cross-check the data repository to confirm that the deletions are accurately reflected and no residual data remains.","it (ISO 29148)
that (ISO 29148)
all (ISO 29148)
can (NASA ARM)",3,4,1.0,2,4,2.0,2,5,3.0,2,5,3.0,3,5,2.0,2,5,3.0,2,5,3.0,—
US002,"As a UI designer, I want to redesign the Resources page, so that it matches the new Broker design styles.","User Story:
As a UI designer, I want to overhaul the Resources page to align with the updated Broker design styles, ensuring a cohesive and modern user experience across the platform.

Acceptance Criteria:
- The redesigned Resources page must incorporate at least 90% of the new Broker design elements, including color schemes, typography, and layout.
- User feedback on the new design should achieve a satisfaction score of 80% or higher in post-launch surveys.
- The page load time for the redesigned Resources page should not exceed 3 seconds to maintain optimal performance.

Test Outline:
- Conduct a design review to confirm that the new Resources page adheres to the specified Broker design guidelines.
- Distribute a user satisfaction survey post-launch to gather feedback and measure satisfaction scores.
- Monitor the page load time using performance testing tools to ensure it meets the established criteria.","it (ISO 29148)
that (ISO 29148)",3,4,1.0,2,4,2.0,3,4,1.0,2,5,3.0,4,5,1.0,2,5,3.0,3,4,1.0,—
US003,"As a UI designer, I want to report to the Agencies about user testing, so that they are aware of their contributions to making Broker a better UX.","User Story:
As a UI designer, I want to provide comprehensive reports to the Agencies regarding user testing outcomes, so that they can understand their impact on enhancing the user experience (UX) of the Broker platform.

Acceptance Criteria:
- Deliver a detailed report summarizing user testing findings, including at least 3 key insights and recommendations for improvement.
- Ensure that the report highlights specific contributions from the Agencies, quantifying their impact on user satisfaction with at least a 20% improvement in usability scores.
- Schedule a follow-up meeting with the Agencies to discuss the report and gather their feedback within 2 weeks of the report delivery.

Test Outline:
- Review the user testing report to confirm it includes the required insights and recommendations.
- Analyze user satisfaction scores before and after implementing changes to validate the reported improvements.
- Confirm that a follow-up meeting is scheduled and attended by both the UI designer and the Agencies to discuss the findings.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)",3,5,2.0,2,5,3.0,3,5,2.0,2,5,3.0,4,5,1.0,2,5,3.0,3,5,2.0,—
US004,"As a UI designer, I want to move on to round 2 of DABS or FABS landing page edits, so that I can get approvals from leadership.","User Story:
As a UI designer, I want to progress to the second round of edits for the DABS or FABS landing page so that I can secure timely approvals from leadership and ensure alignment with project goals.

Acceptance Criteria:
- Complete the second round of edits and present the updated designs to leadership within 5 business days.
- Gather feedback from at least 3 leadership members to ensure diverse input on the design changes.
- Achieve a minimum approval rating of 80% from leadership on the revised landing page designs.

Test Outline:
- Review the timeline to confirm that the edits are completed and presented within the specified timeframe.
- Document the feedback received from leadership to verify that input was collected from the required number of members.
- Conduct a survey or feedback session to assess the approval rating of the revised designs.","secure (ISO 29148)
that (ISO 29148)
timely (NASA ARM)
can (NASA ARM)",4,4,0.0,3,5,2.0,4,5,1.0,2,5,3.0,4,5,1.0,2,5,3.0,3,5,2.0,—
US005,"As a UI designer, I want to move on to round 2 of Homepage edits, so that I can get approvals from leadership.","User Story:
As a UI designer, I want to progress to the second round of edits for the Homepage so that I can secure timely approvals from leadership and ensure alignment with our design objectives.

Acceptance Criteria:
- Complete the second round of Homepage edits by the specified deadline.
- Present the updated design to leadership for feedback within 2 business days of completion.
- Achieve at least 80% approval from leadership on the proposed changes to move forward.

Test Outline:
- Review the completed edits against the initial design requirements to ensure all changes are implemented.
- Schedule and conduct a presentation with leadership to gather feedback and document approval ratings.","secure (ISO 29148)
that (ISO 29148)
all (ISO 29148)
timely (NASA ARM)
can (NASA ARM)",3,4,1.0,2,4,2.0,3,4,1.0,2,4,2.0,4,4,0.0,2,4,2.0,3,4,1.0,—
US006,"As a UI designer, I want to move on to round 3 of the Help page edits, so that I can get approvals from leadership.","User Story:
As a UI designer, I want to progress to the third round of edits for the Help page so that I can secure timely approvals from leadership and ensure the project stays on schedule.

Acceptance Criteria:
- Complete all necessary design revisions for the Help page by the end of the current week.
- Present the updated Help page to leadership for feedback within 2 business days after revisions are finalized.
- Achieve at least 80% approval from leadership on the proposed changes to move forward.

Test Outline:
- Review the final design revisions to confirm all edits are completed as per the requirements.
- Schedule and conduct a presentation with leadership to gather feedback and document their responses.
- Track the approval rate from leadership to ensure it meets the 80% threshold for moving to the next phase.","secure (ISO 29148)
it (ISO 29148)
that (ISO 29148)
all (ISO 29148)
timely (NASA ARM)
can (NASA ARM)",3,4,1.0,2,5,3.0,3,5,2.0,2,5,3.0,4,5,1.0,2,5,3.0,3,5,2.0,—
US007,"As a Developer , I want to be able to log better, so that I can troubleshoot issues with particular submissions and functions.","User Story:
As a Developer , I want to implement enhanced logging capabilities so that I can efficiently diagnose and resolve issues related to specific submissions and functions, ultimately improving system reliability.

Acceptance Criteria:
- Ensure that all critical functions log detailed error messages with timestamps and unique identifiers for each submission.
- Implement a logging level system (e.g., INFO, WARN, ERROR) to categorize log entries, allowing for easier filtering and analysis.
- Verify that logs can be accessed and searched within 2 seconds to facilitate rapid troubleshooting.

Test Outline:
- Review the log files to confirm that critical functions are generating detailed logs with the required information.
- Test the logging level system by generating logs at different levels and ensuring they are correctly categorized.
- Measure the time taken to access and search logs to ensure it meets the 2-second requirement.","it (ISO 29148)
that (ISO 29148)
all (ISO 29148)
can (NASA ARM)",3,4,1.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
US008,"As a Developer, I want to add the updates on a FABS submission to be modified when the publishStatus changes, so that I know when the status of the submission has changed.","User Story:
As a Developer, I want to implement a feature that automatically updates the FABS submission details whenever the publishStatus changes, so that I can promptly track and respond to any changes in the submission's status.

Acceptance Criteria:
- Ensure that any change in publishStatus triggers an automatic update to the FABS submission details within 2 seconds.
- Log all status changes with timestamps to maintain a clear history of modifications.
- Provide a notification to the developer when the status update occurs, ensuring awareness of the change.

Test Outline:
- Simulate a change in publishStatus and verify that the FABS submission details are updated within the specified time frame.
- Check the logs to confirm that all status changes are recorded accurately with the correct timestamps.
- Validate that a notification is sent to the developer upon each status change.","that (ISO 29148)
all (ISO 29148)
can (NASA ARM)",4,4,0.0,3,4,1.0,4,5,1.0,3,5,2.0,3,5,2.0,2,5,3.0,3,5,2.0,—
US009,"As a DevOps engineer, I want New Relic to provide useful data across all applications.","User Story:
As a DevOps engineer, I want New Relic to deliver comprehensive and actionable performance data across all applications so that I can proactively monitor system health and optimize application performance.

Acceptance Criteria:
- Ensure that New Relic collects and displays performance metrics for at least 95% of all deployed applications.
- Provide real-time alerts for any application performance degradation, with notifications sent within 1 minute of detection.
- Generate detailed reports on application performance trends, with insights available on a weekly basis.

Test Outline:
- Verify that performance metrics are accurately captured and displayed for the majority of applications in New Relic.
- Test the alerting system by simulating performance issues and confirming that notifications are received within the specified timeframe.
- Review the generated reports to ensure they include relevant performance trends and insights for the applications monitored.","that (ISO 29148)
all (ISO 29148)
can (NASA ARM)",3,4,1.0,1,4,3.0,2,5,3.0,2,5,3.0,4,5,1.0,1,5,4.0,2,5,3.0,—
US010,"As a UI designer,  I want to move on to round 2 of the Help page edits, so that I can get approvals from leadership.","User Story:
As a UI designer, I want to progress to the second round of edits for the Help page so that I can secure timely approvals from leadership and enhance the user experience.

Acceptance Criteria:
- Complete all design revisions for the Help page based on feedback from the first round.
- Present the updated Help page design to leadership within 3 business days for review.
- Obtain formal approval from leadership on the revised design to proceed with implementation.

Test Outline:
- Review the updated Help page to ensure all feedback has been addressed and revisions are complete.
- Schedule and conduct a presentation with leadership to demonstrate the changes and gather their feedback.
- Confirm receipt of approval from leadership through documented communication.","secure (ISO 29148)
that (ISO 29148)
all (ISO 29148)
timely (NASA ARM)
can (NASA ARM)",3,4,1.0,2,4,2.0,3,4,1.0,2,4,2.0,4,4,0.0,2,4,2.0,3,4,1.0,—
