ID,Original User Story,Rewritten User Story,Fuzzy Terms (with source),I_before,I_after,delta_I,N_before,N_after,delta_N,V_before,V_after,delta_V,E_before,E_after,delta_E,S_before,S_after,delta_S,T_before,T_after,delta_T,overall_before,overall_after,delta_overall,Low-score Explanation (<2)
US001,"As a site member, I want to describe myself on my own page in a semi-structured way, so that others can learn about me.","User Story:
As a site member, I want to create a semi-structured personal profile on my page so that other users can easily understand my background, interests, and skills.

Acceptance Criteria:
- Provide at least 5 distinct sections in the profile, such as ""About Me,"" ""Interests,"" ""Skills,"" ""Experience,"" and ""Contact Information.""
- Each section must allow for a minimum of 100 characters and a maximum of 500 characters to ensure detailed descriptions.
- Enable users to edit and update their profile information at any time, with changes reflected immediately.

Test Outline:
- Review the profile page to confirm the presence of the 5 required sections.
- Check that each section adheres to the character limits specified.
- Test the editing functionality to ensure that updates are saved and displayed in real-time.","that (ISO 29148)
can (NASA ARM)",4,4,0.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
US002,"As a site member, I want to fill out an application to become a Certified Scrum Practitioner, so that I can earn that designation.","User Story:
As a site member, I want to complete an application for the Certified Scrum Practitioner designation so that I can officially earn this credential and enhance my professional qualifications.

Acceptance Criteria:
- Successfully submit the application form with all required fields completed.
- Receive confirmation of application submission within 24 hours.
- Achieve a processing time of no more than 7 business days to receive the certification decision.

Test Outline:
- Verify that the application form can be filled out and submitted without errors.
- Check for the confirmation email to ensure it is received within the specified timeframe.
- Track the processing time from submission to decision to confirm it meets the 7-day requirement.","it (ISO 29148)
this (ISO 29148)
that (ISO 29148)
all (ISO 29148)
can (NASA ARM)
more (NASA ARM)",4,4,0.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
US003,"As a Practitioner, I want to include additional details about me in my profile page, so that I can showcase my experience.","User Story:
As a Practitioner, I want to enhance my profile page with comprehensive details about my professional background so that I can effectively showcase my experience and attract potential clients or employers.

Acceptance Criteria:
- Include fields for at least 5 key professional experiences that can be added to the profile.
- Allow the addition of certifications and qualifications, with a maximum of 10 entries.
- Enable users to upload a professional profile picture that meets specified size requirements (e.g., 300x300 pixels).

Test Outline:
- Verify that users can successfully add and save at least 5 professional experiences to their profile.
- Check that users can input and save up to 10 certifications or qualifications without errors.
- Confirm that the profile picture upload feature works and adheres to the specified size requirements.","that (ISO 29148)
can (NASA ARM)",4,4,0.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
US004,"As a site member, I want to fill out an application to become a Certified Scrum Trainer, so that I can teach CSM and CSPO courses and certify others.","User Story:
As a site member, I want to complete an application process to become a Certified Scrum Trainer, so that I can effectively teach Certified Scrum Master (CSM) and Certified Scrum Product Owner (CSPO) courses and certify aspiring Scrum professionals.

Acceptance Criteria:
- Submit a comprehensive application that includes proof of relevant experience and qualifications in Scrum methodologies.
- Receive confirmation of application submission within 24 hours.
- Achieve a successful review and approval of the application within 30 days, allowing me to begin training and certifying others.

Test Outline:
- Verify that the application form captures all necessary information and documentation required for certification.
- Check the email confirmation for submission to ensure it is received within the specified timeframe.
- Monitor the application review process to confirm that the approval is completed within the 30-day target.","it (ISO 29148)
that (ISO 29148)
all (ISO 29148)
can (NASA ARM)",3,4,1.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
US005,"As a Trainer, I want to include additional details in my profile page about me, so that others can learn about me and decide if I am the right trainer for them.","User Story:
As a Trainer, I want to enhance my profile page with comprehensive details about my background and expertise so that potential clients can make informed decisions about my suitability as their trainer.

Acceptance Criteria:
- Include a minimum of 200 words detailing my qualifications, experience, and training philosophy.
- Add at least 3 testimonials from previous clients to showcase my effectiveness and impact.
- Provide links to relevant certifications or professional achievements to validate my expertise.

Test Outline:
- Review the profile page to ensure it contains the required word count and detailed information.
- Check for the presence of at least 3 client testimonials on the profile.
- Verify that all links to certifications and achievements are functional and lead to credible sources.","it (ISO 29148)
that (ISO 29148)
all (ISO 29148)
can (NASA ARM)",3,4,1.0,3,4,1.0,4,5,1.0,3,5,2.0,3,5,2.0,2,5,3.0,3,5,2.0,—
US006,"As a Practitioner, I want to write an article for the site with a small graphic shown with the article showing my CSP or CST status, so that others know my certifications when reading.","User Story:
As a Practitioner, I want to publish an article on the site that includes a small graphic displaying my Certified Scrum Professional (CSP) or Certified Scrum Trainer (CST) status, so that readers can easily recognize my qualifications and expertise.

Acceptance Criteria:
- The article must include a graphic that clearly indicates my CSP or CST certification status.
- The graphic should be displayed prominently alongside the article title or author section.
- The article must be published and accessible to users within 48 hours of submission.

Test Outline:
- Review the published article to ensure the certification graphic is present and correctly displayed.
- Confirm that the article is live on the site within the specified 48-hour timeframe.
- Gather feedback from readers to assess their recognition of the certification graphic and its impact on their perception of the article's credibility.","that (ISO 29148)
can (NASA ARM)",4,4,0.0,3,3,0.0,4,4,0.0,3,4,1.0,3,4,1.0,2,4,2.0,3,4,1.0,—
US007,"As a trainer, I want to list my upcoming classes in my profile and include a link to a detailed page about each, so that prospective attendees can find my courses.","User Story:
As a trainer, I want to showcase my upcoming classes on my profile with direct links to detailed pages for each course, so that potential attendees can easily access information and register for my sessions.

Acceptance Criteria:
- Display a list of at least 5 upcoming classes on the trainer's profile.
- Each class entry must include a clickable link that directs users to a detailed course page.
- Ensure that the detailed page contains essential information such as class schedule, duration, and registration instructions.

Test Outline:
- Verify that the profile displays a minimum of 5 upcoming classes.
- Check that each class entry has a functional link leading to the corresponding detailed page.
- Review the detailed pages to confirm they include all required information for prospective attendees.","that (ISO 29148)
all (ISO 29148)
can (NASA ARM)",4,4,0.0,4,4,0.0,4,5,1.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US008,"As a site member, I want to view the profiles of other members, so that I can find others I might want to connect with.","User Story:
As a site member, I want to access and browse the profiles of other members so that I can identify potential connections and expand my network effectively.

Acceptance Criteria:
- The profile viewing feature must allow members to view at least 10 profiles per page.
- Each profile should load within 3 seconds to ensure a smooth browsing experience.
- Members should be able to filter profiles based on at least 3 criteria (e.g., location, interests, and activity level).

Test Outline:
- Verify that the profile viewing feature displays a minimum of 10 profiles on each page.
- Measure the loading time of profiles to confirm it is within the 3-second limit.
- Test the filtering functionality to ensure it allows filtering by the specified criteria.","it (ISO 29148)
that (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)",4,4,0.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
US009,"As a site member, I want to search for profiles based on a few fields, so that I can find others I might want to connect with.","User Story:
As a site member, I want to perform searches for profiles using specific criteria so that I can efficiently discover potential connections that align with my interests and goals.

Acceptance Criteria:
- Users must be able to filter profiles based on at least 3 distinct fields (e.g., location, interests, and profession).
- The search results should return relevant profiles within 3 seconds of initiating the search.
- Users should have the option to save their search criteria for future use, with a maximum of 5 saved searches.

Test Outline:
- Conduct a search using various combinations of the specified fields to ensure relevant profiles are returned.
- Measure the response time of the search function to confirm it meets the 3-second requirement.
- Verify that users can successfully save and retrieve their search criteria.","it (ISO 29148)
that (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)",4,4,0.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
US010,"As a site member, I want to mark my profile as private in which case only my name will appear, so that no one can learn things about me I don't want shared.","User Story:
As a site member, I want to set my profile to private mode, ensuring that only my name is visible to others, so that I can protect my personal information and control what details are shared with the community.

Acceptance Criteria:
- The profile privacy setting must be easily accessible and allow toggling between public and private modes.
- When the profile is set to private, only the member's name should be displayed to other users, with all other personal information hidden.
- A confirmation message should be provided to the user upon successfully changing the profile to private.

Test Outline:
- Verify that the privacy setting can be changed and is reflected in the user interface.
- Check that only the member's name is visible to other users when the profile is set to private.
- Ensure that a confirmation message appears after the privacy setting is successfully updated.","that (ISO 29148)
all (ISO 29148)
can (NASA ARM)",4,4,0.0,3,4,1.0,4,5,1.0,3,5,2.0,3,5,2.0,2,5,3.0,3,5,2.0,—
