ID,Original User Story,Rewritten User Story,Fuzzy Terms (with source),I_before,I_after,delta_I,N_before,N_after,delta_N,V_before,V_after,delta_V,E_before,E_after,delta_E,S_before,S_after,delta_S,T_before,T_after,delta_T,overall_before,overall_after,delta_overall,Low-score Explanation (<2)
US001,"As a site member, I want to describe myself on my own page in a semi-structured way, so that others can learn about me.","User Story:
As a site member, I want to showcase my personal information in a well-organized format on my profile page, allowing others to better understand my background and interests.

Acceptance Criteria:
- Include designated fields for essential personal information such as hobbies, expertise, and professional history.
- Ensure the design is intuitive and visually engaging for users.
- Facilitate straightforward updates to the displayed information.

Test Outline:
- Inspect the profile page to verify the inclusion of organized fields for personal details.
- Evaluate the process of updating personal information for efficiency and confirm successful modifications.
- Collect user feedback regarding the clarity and relevance of the information presented.","intuitive (ISO 29148)
better (ISO 29148)
better (NASA ARM)",2,2,0.0,2,2,0.0,2,2,0.0,1,1,0.0,2,2,0.0,1,2,1.0,2,2,0.0,E: The acceptance criteria are somewhat vague and do not provide specific metrics or constraints. | HEU: numbers=0; comparators=False; has_AC=True | HEU: numbers=0; comparators=True; has_AC=True
US002,"As a site member, I want to fill out an application to become a Certified Scrum Practitioner, so that I can earn that designation.","User Story:
As a site member, I want to submit my application for the Certified Scrum Practitioner credential so that I can achieve this esteemed professional certification.

Acceptance Criteria:
- Successfully complete and submit the application form with all necessary details.
- Receive an email confirmation acknowledging the submission of my application.
- Get updates regarding the application status within the designated timeframe.

Test Outline:
- Ensure the application form can be accurately filled out and submitted without any errors.
- Confirm that an email notification is sent upon successful application submission.
- Track the response time for application status updates to verify compliance with the specified timeframe.","this (ISO 29148)
that (ISO 29148)
all (ISO 29148)
can (NASA ARM)",2,3,1.0,2,3,1.0,2,3,1.0,1,2,1.0,2,2,0.0,1,2,1.0,2,2,0.0,—
US003,"As a Practitioner, I want to include additional details about me in my profile page, so that I can showcase my experience.","User Story:
As a Practitioner, I want to enrich my profile page with more comprehensive information about my background, so that I can effectively highlight my expertise and experience to potential clients or employers.

Acceptance Criteria:
- Provide fields for adding certifications, skills, and work history.
- Ensure that the profile updates are saved and displayed correctly.
- Allow users to preview changes before finalizing their profile updates.

Test Outline:
- Verify that all new fields for additional details are functional and user-friendly.
- Check that updates are accurately reflected on the profile after saving.
- Test the preview feature to ensure it displays the profile accurately before submission.","it (ISO 29148)
that (ISO 29148)
all (ISO 29148)
can (NASA ARM)
more (NASA ARM)",2,3,1.0,2,3,1.0,2,3,1.0,1,2,1.0,2,3,1.0,1,2,1.0,2,3,1.0,—
US004,"As a site member, I want to fill out an application to become a Certified Scrum Trainer, so that I can teach CSM and CSPO courses and certify others.","User Story:
As a site member, I aim to finalize my application for Scrum Trainer certification, which will empower me to teach CSM and CSPO courses and certify future professionals in the field.

Acceptance Criteria:
- Successfully complete and submit the application for Scrum Trainer certification.
- Receive a confirmation notification indicating the application has been submitted.
- Get updates regarding the application status within a defined timeframe.

Test Outline:
- Ensure the application form is user-friendly and can be submitted without any complications.
- Confirm receipt of an acknowledgment email that verifies the application submission.
- Track the response time for feedback on the application status to ensure it aligns with the specified timeframe.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)",2,3,1.0,2,3,1.0,2,3,1.0,1,2,1.0,2,2,0.0,1,2,1.0,2,2,0.0,—
US005,"As a Trainer, I want to include additional details in my profile page about me, so that others can learn about me and decide if I am the right trainer for them.","User Story:
As a Trainer, I want to enrich my profile page with detailed personal information so that potential clients can better understand my qualifications and assess whether I meet their training needs.

Acceptance Criteria:
- Create distinct sections highlighting my certifications, work history, and training philosophy.
- Include a personal statement that conveys my distinctive training approach and techniques.
- Design the profile to be visually appealing and intuitive for seamless navigation.

Test Outline:
- Review the profile page to confirm the inclusion of the new sections.
- Assess the clarity and impact of the personal statement.
- Analyze the overall design and user-friendliness of the profile layout.","intuitive (ISO 29148)
that (ISO 29148)
better (ISO 29148)
can (NASA ARM)
better (NASA ARM)",2,2,0.0,2,2,0.0,2,2,0.0,1,2,1.0,2,2,0.0,1,2,1.0,2,2,0.0,—
US006,"As a Practitioner, I want to write an article for the site with a small graphic shown with the article showing my CSP or CST status, so that others know my certifications when reading.","User Story:
As a Practitioner, I want to publish an article on the website that includes a visually appealing graphic showcasing my CSP or CST credentials, allowing readers to easily recognize my qualifications and expertise.

Acceptance Criteria:
- The article features a prominently displayed graphic that represents my CSP or CST certification.
- The graphic is appropriately sized and strategically positioned within the article to maximize visibility.
- The article is successfully published on the website without any issues.

Test Outline:
- Review the published article to confirm the inclusion of the certification graphic.
- Evaluate the graphic's visibility and clarity in relation to the overall article layout.
- Verify that the article is accessible and displays correctly across the website.",that (ISO 29148),2,2,0.0,2,2,0.0,2,2,0.0,1,2,1.0,2,2,0.0,1,2,1.0,2,2,0.0,—
US007,"As a trainer, I want to list my upcoming classes in my profile and include a link to a detailed page about each, so that prospective attendees can find my courses.","User Story:
As a trainer, I want to prominently showcase my upcoming courses on my profile and include direct links to in-depth descriptions for each class, enabling potential participants to easily discover and investigate my educational offerings.

Acceptance Criteria:
- Display a clear and organized list of upcoming courses on the instructor's profile page.
- Ensure each course features a clickable link that leads to a comprehensive information page.
- Guarantee that the details of the courses are accurate and up-to-date.

Test Outline:
- Verify that the upcoming courses are correctly listed on the profile.
- Test each course link to confirm it directs to the appropriate detailed information page.
- Check that the content on the detailed pages is current and accurately represents the course schedule.","it (ISO 29148)
that (ISO 29148)
appropriate (ISO 29148)",2,2,0.0,2,3,1.0,2,2,0.0,1,2,1.0,2,3,1.0,1,3,2.0,2,2,0.0,—
US008,"As a site member, I want to view the profiles of other members, so that I can find others I might want to connect with.","User Story:
As a site member, I want to access and browse the profiles of fellow members so that I can discover potential connections and expand my network.

Acceptance Criteria:
- Profiles of all members are easily accessible and viewable.
- Each profile includes relevant information such as interests and contact options.
- The browsing experience is intuitive and user-friendly.

Test Outline:
- Verify that all member profiles can be accessed without errors.
- Check that each profile displays the necessary information clearly.
- Assess the overall usability of the profile browsing feature.","intuitive (ISO 29148)
that (ISO 29148)
all (ISO 29148)
can (NASA ARM)",2,2,0.0,2,2,0.0,2,2,0.0,1,1,0.0,2,2,0.0,1,2,1.0,2,2,0.0,E: The acceptance criteria are somewhat vague and do not provide specific metrics or constraints. | HEU: numbers=0; comparators=False; has_AC=True | HEU: numbers=0; comparators=True; has_AC=True
US009,"As a site member, I want to search for profiles based on a few fields, so that I can find others I might want to connect with.","User Story:
As a site member, I want to filter profiles using specific criteria so that I can discover potential connections that align with my interests.

Acceptance Criteria:
- Enable search functionality across at least five profile fields.
- Display relevant profiles that match the search criteria.
- Ensure search results are returned within 3 seconds.

Test Outline:
- Test the search feature by inputting various criteria and verifying the results.
- Measure the response time for search queries to confirm it meets the 3-second requirement.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)",2,3,1.0,2,3,1.0,2,3,1.0,1,3,2.0,2,3,1.0,1,3,2.0,2,3,1.0,—
US010,"As a site member, I want to mark my profile as private in which case only my name will appear, so that no one can learn things about me I don't want shared.","User Story:
As a site member, I want the ability to set my profile to private, ensuring that only my name is visible, so that I can protect my personal information from being disclosed.

Acceptance Criteria:
- Enable the option to toggle profile privacy settings.
- Ensure that only the member's name is displayed when the profile is set to private.
- Confirm that no additional personal details are accessible to other users when the profile is private.

Test Outline:
- Test the functionality to change the profile to private and verify the settings are saved.
- Check that only the name appears on the profile when viewed by other users.
- Validate that all other personal information is hidden from public view.","that (ISO 29148)
all (ISO 29148)
can (NASA ARM)",2,3,1.0,2,3,1.0,2,3,1.0,1,3,2.0,2,3,1.0,1,3,2.0,2,3,1.0,—
