ID,Original User Story,Rewritten User Story,Correction Reason,Fuzzy Terms (with source),I_before,I_after,delta_I,N_before,N_after,delta_N,V_before,V_after,delta_V,E_before,E_after,delta_E,S_before,S_after,delta_S,T_before,T_after,delta_T,overall_before,overall_after,delta_overall,Low-score Explanation (<2)
A1US1Ge,"As a driver, I want a car that uses AI and real-time data to react faster than humans in emergency situations, reducing my risk of accidents.","User Story:
As a driver, I want my vehicle to utilize AI and real-time data analytics to respond to emergency situations more swiftly than a human driver, thereby decreasing my risk of accidents by at least 30%.

Acceptance Criteria:
- The AI system must demonstrate a reaction time of less than 0.5 seconds in simulated emergency scenarios.
- The vehicle should reduce the likelihood of collision incidents by at least 30% based on historical data comparisons.
- User feedback should reflect a confidence level of 90% or higher in the AI's ability to handle emergencies effectively.

Test Outline:
- Conduct controlled tests to measure the AI's reaction time in various emergency scenarios.
- Analyze accident data before and after implementing the AI system to quantify the reduction in collision incidents.
- Survey drivers to assess their confidence in the AI's emergency response capabilities.","The original user story was clear but lacked measurable criteria and specific outcomes. The improved version enhances clarity by specifying quantifiable acceptance criteria and a structured test outline, emphasizing the business relevance of safety improvements.","more (NASA ARM)
less (NASA ARM)",4,4,0.0,4,4,0.0,4,4,0.0,4,5,1.0,5,5,0.0,4,5,1.0,4,4,0.0,—
A1US2Ge,"As a city planner, I want a traffic management system that uses AI and connected vehicles to optimize traffic flow and reduce congestion.","User Story:
As a city planner, I want an AI-driven traffic management system that integrates with connected vehicles to optimize traffic flow, thereby reducing congestion by at least 30% during peak hours.

Acceptance Criteria:
- The system must analyze real-time traffic data and adjust signal timings to improve traffic flow, achieving a minimum of 20% reduction in average travel time for commuters.
- At least 90% of connected vehicles should be able to communicate with the traffic management system for effective data exchange.
- User satisfaction surveys should indicate an 80% or higher approval rating from city residents regarding traffic conditions after implementation.

Test Outline:
- Monitor traffic patterns before and after the system's implementation to measure changes in congestion levels and travel times.
- Conduct tests to ensure that the majority of connected vehicles can successfully communicate with the system and that data is processed accurately.","The original user story was clear but lacked measurable criteria and specific outcomes. The improved version enhances clarity by specifying quantifiable goals for congestion reduction, travel time improvement, and user satisfaction, along with a structured test outline.","effective (ISO 29148)
that (ISO 29148)
be able to (NASA ARM)
effective (NASA ARM)
can (NASA ARM)",2,4,2.0,2,4,2.0,3,4,1.0,2,5,3.0,3,5,2.0,2,5,3.0,2,4,2.0,—
A1US3Ge,"As a car manufacturer, I want to develop AVs with advanced sensors and AI algorithms that can accurately perceive their surroundings and make safe driving decisions.","User Story:
As a car manufacturer, I want to create autonomous vehicles (AVs) equipped with cutting-edge sensors and AI algorithms so that they can accurately perceive their environment and make safe driving decisions, ultimately reducing accidents by at least 30%.

Acceptance Criteria:
- The AVs must achieve a perception accuracy of 95% in identifying obstacles and road conditions during testing.
- The AI algorithms should demonstrate the ability to make safe driving decisions with a success rate of 90% in simulated environments.
- The system must be able to process sensor data and respond to driving conditions within 100 milliseconds.

Test Outline:
- Conduct real-world and simulated tests to evaluate the perception accuracy of the sensors against various scenarios.
- Analyze decision-making outcomes in simulations to ensure the AI meets the 90% success rate for safe driving decisions.
- Measure the response time of the system to ensure it processes data within the specified 100 milliseconds.","The original user story was clear but lacked measurable criteria and specific outcomes. The improved version enhances clarity by specifying quantifiable acceptance criteria and a structured test outline, emphasizing the business impact of safety improvements.","it (ISO 29148)
that (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)",3,4,1.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
A1US4Ge,"As a blind or visually impaired person, I want an AV that can safely navigate me around town, giving me greater independence.","User Story:
As a blind or visually impaired person, I want an autonomous vehicle (AV) equipped with advanced navigation technology so that I can travel around town safely and independently, enhancing my mobility and quality of life.

Acceptance Criteria:
- The AV must successfully navigate urban environments with a 98% accuracy rate in identifying obstacles and safe paths.
- The system should provide real-time audio feedback to the user regarding navigation decisions and nearby hazards within 1 second of detection.
- User satisfaction surveys should reflect a 90% approval rating regarding the AV's ability to enhance independence and safety during travel.

Test Outline:
- Conduct field tests in various urban settings to evaluate the AV's navigation accuracy and obstacle detection capabilities.
- Measure the response time of the audio feedback system during navigation scenarios to ensure it meets the 1-second requirement.
- Gather user feedback through surveys to assess overall satisfaction with the AV's performance.","The original user story was clear but lacked measurable criteria and specific details about the technology involved. The improved version clarifies the user's needs, specifies measurable acceptance criteria, and outlines a test plan to ensure the AV meets the desired functionality and user satisfaction.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)",5,4,-1.0,4,4,0.0,4,5,1.0,4,5,1.0,5,5,0.0,4,5,1.0,4,5,1.0,—
A1US5Ge,"As an environmentalist, I want AVs that are programmed for fuel efficiency and can reduce overall emissions and pollution in our cities.","User Story:
As an environmentalist, I want autonomous vehicles (AVs) to be optimized for fuel efficiency so that they can reduce overall emissions by at least 30% and lower urban pollution levels significantly, contributing to cleaner cities.

Acceptance Criteria:
- AVs must achieve a minimum fuel efficiency of 50 miles per gallon (MPG) under standard driving conditions.
- The implementation of these AVs should lead to a reduction in greenhouse gas emissions by at least 30% within the first year of deployment.
- User surveys should reflect an 80% satisfaction rate regarding the perceived environmental impact of using these AVs.

Test Outline:
- Measure the fuel efficiency of AVs in real-world driving scenarios to ensure they meet the 50 MPG requirement.
- Analyze emissions data before and after the introduction of AVs to confirm the 30% reduction target.
- Conduct user surveys to gather feedback on the environmental benefits of the AVs.","The original user story was clear but lacked specific, measurable criteria. The improved version enhances clarity by specifying quantifiable goals for fuel efficiency and emissions reduction, along with a structured test outline to verify the outcomes.","that (ISO 29148)
these (ISO 29148)
can (NASA ARM)",3,4,1.0,3,4,1.0,3,4,1.0,2,5,3.0,4,5,1.0,2,5,3.0,3,4,1.0,—
A1US6Ge,"As a busy professional, I want an AV that can take me to meetings or appointments while I work on other tasks, saving me valuable time.","User Story:
As a busy professional, I want an autonomous vehicle (AV) that can transport me to meetings or appointments while I complete other tasks, so that I can save at least 30 minutes of valuable time per trip and increase my productivity.

Acceptance Criteria:
- The AV must be able to navigate to the destination with a success rate of 95% or higher without human intervention.
- The vehicle should allow for seamless connectivity to work applications, enabling multitasking during the journey for at least 80% of users.
- The average travel time should be reduced by 20% compared to traditional commuting methods.

Test Outline:
- Track the success rate of the AV's navigation over a series of trips to ensure it meets the 95% accuracy requirement.
- Conduct user surveys to assess the effectiveness of connectivity features and multitasking capabilities.
- Compare travel times of the AV against traditional commuting methods to verify the 20% reduction.","The original user story was clear but lacked measurable criteria and specific details. The improved version enhances clarity by specifying the technology (AV), quantifying the time savings, and providing measurable acceptance criteria and a structured test outline.","it (ISO 29148)
that (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)",5,4,-1.0,4,4,0.0,4,5,1.0,4,5,1.0,5,5,0.0,4,5,1.0,4,5,1.0,—
A1US7Ge,"As a safety advocate, I want clear regulations and safety standards for AVs to ensure the well-being of all road users.","User Story:
As a safety advocate, I want to establish comprehensive regulations and safety standards for autonomous vehicles (AVs) so that we can ensure the safety and well-being of all road users, reducing accidents by at least 30% within the first year of implementation.

Acceptance Criteria:
- Regulations must be developed and published within 12 months, incorporating input from at least 5 key stakeholder groups.
- Safety standards should be designed to achieve a minimum of 95% compliance during initial testing phases.
- A public awareness campaign must be launched to educate at least 70% of road users about the new regulations and safety standards within 6 months of their release.

Test Outline:
- Review the timeline and stakeholder engagement process to ensure regulations are developed within the specified timeframe.
- Conduct compliance audits during testing to verify adherence to safety standards.
- Measure the reach and effectiveness of the public awareness campaign through surveys and engagement metrics.","The original user story was clear but lacked measurable criteria and specific timelines. The improved version enhances clarity by specifying quantifiable goals, a structured timeline, and a comprehensive approach to stakeholder engagement and public awareness.","that (ISO 29148)
all (ISO 29148)
can (NASA ARM)",2,4,2.0,1,4,3.0,2,5,3.0,2,5,3.0,3,5,2.0,1,5,4.0,2,5,3.0,—
A1US8Ge,"As a cybersecurity expert, I want AVs to be equipped with robust security measures to protect them from hacking and cyberattacks.","User Story:
As a cybersecurity expert, I want autonomous vehicles (AVs) to be equipped with advanced security measures so that they can withstand hacking attempts and cyberattacks, ensuring the safety of passengers and data integrity.

Acceptance Criteria:
- AVs must implement multi-layered security protocols that reduce vulnerability to cyberattacks by at least 80%.
- Security measures should be tested to withstand simulated hacking attempts with a success rate of less than 5% for unauthorized access.
- Regular security audits must be conducted every 6 months to ensure compliance with the latest cybersecurity standards.

Test Outline:
- Perform penetration testing on AV systems to evaluate the effectiveness of the security measures against hacking attempts.
- Review audit reports to confirm that security protocols are updated and maintained according to industry standards.","The original user story was clear but lacked measurable criteria and specificity. The improved version enhances clarity by defining the security measures, establishing quantifiable acceptance criteria, and providing a structured test outline to ensure the effectiveness of the security protocols.","that (ISO 29148)
every (ISO 29148)
can (NASA ARM)
less (NASA ARM)",2,4,2.0,2,4,2.0,3,5,2.0,2,5,3.0,3,5,2.0,2,5,3.0,2,5,3.0,—
A1US9Ge,"As a data privacy advocate, I want control over the data collected by AVs and ensure it's used responsibly and securely.","User Story:
As a data privacy advocate, I want to have comprehensive control over the data collected by autonomous vehicles (AVs) so that I can ensure it is used responsibly and securely, protecting user privacy and compliance with regulations.

Acceptance Criteria:
- Users must be able to access and manage their data preferences, including opting in or out of data collection, with changes reflected in real-time.
- The system should provide clear documentation on data usage policies, achieving a user comprehension rate of at least 90%.
- Data security measures must be implemented to ensure that 100% of collected data is encrypted and stored securely.

Test Outline:
- Verify the functionality of the data management interface by testing user ability to change preferences and confirming real-time updates.
- Conduct user surveys to assess understanding of data usage policies and measure comprehension rates.
- Perform security audits to ensure all collected data is encrypted and meets industry standards.","The original user story was clear but lacked measurable criteria and specific details. The improved version enhances clarity by specifying the user's needs, establishing quantifiable acceptance criteria, and providing a structured test outline to ensure accountability and compliance.","it (ISO 29148)
that (ISO 29148)
all (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)",2,4,2.0,2,4,2.0,2,5,3.0,2,5,3.0,3,5,2.0,2,5,3.0,2,5,3.0,—
A1US10Ge,"As a delivery company, I want to explore the use of AVs for efficient and cost-effective last-mile delivery services.","User Story:
As a delivery company, I want to implement autonomous vehicles (AVs) for last-mile delivery services so that we can reduce delivery costs by at least 30% and improve delivery efficiency by achieving a 20% faster average delivery time.

Acceptance Criteria:
- The use of AVs should decrease operational costs by a minimum of 30% within the first year of implementation.
- The average delivery time for last-mile deliveries must be reduced by at least 20% compared to traditional delivery methods.
- Customer satisfaction ratings for delivery speed should reach 90% or higher after the introduction of AVs.

Test Outline:
- Analyze cost reports before and after AV implementation to verify the 30% reduction in operational costs.
- Measure and compare average delivery times before and after the deployment of AVs to ensure a 20% improvement.
- Conduct customer surveys to assess satisfaction levels regarding delivery speed post-implementation.","The original user story was broad and lacked specific, measurable criteria. The improved version clarifies the intended use of AVs, specifies quantifiable benefits, and outlines clear acceptance criteria and testing methods to ensure accountability and focus on business outcomes.","that (ISO 29148)
faster (ISO 29148)
can (NASA ARM)",2,4,2.0,2,4,2.0,2,5,3.0,2,5,3.0,3,5,2.0,2,5,3.0,2,5,3.0,—
